id,region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price
40372,twin falls,2019,gmc,like new,8 cylinders,gas,13404,clean,automatic,rwd,full-size,truck,white,,27262.257320439494
40373,orange county,1995,ford,good,8 cylinders,gas,172039,clean,automatic,fwd,full-size,coupe,green,,4278.296154382762
40374,albany,2010,bmw,excellent,6 cylinders,gas,92593,clean,automatic,rwd,mid-size,coupe,black,ny,13558.529242271858
40375,rockford,2016,toyota,excellent,4 cylinders,gas,122603,clean,automatic,fwd,mid-size,hatchback,blue,il,9497.592382332554
40376,rhode island,1999,ford,fair,4 cylinders,gas,178677,clean,manual,4wd,full-size,wagon,green,ri,4516.644965059565
40377,st george,2010,ford,excellent,8 cylinders,diesel,196110,clean,automatic,4wd,full-size,SUV,blue,ut,13215.70981603505
40378,stockton,2004,ford,good,4 cylinders,gas,132347,clean,manual,rwd,mid-size,sedan,blue,ca,8436.476887488367
40379,medford-ashland,2010,toyota,excellent,4 cylinders,gas,150238,clean,manual,fwd,full-size,sedan,black,or,6775.463034439379
40380,tallahassee,2013,honda,good,4 cylinders,gas,72844,clean,other,fwd,compact,sedan,red,fl,6462.7491156868755
40381,sandusky,2013,volkswagen,excellent,4 cylinders,gas,98469,clean,automatic,fwd,compact,sedan,black,oh,7212.762163776512
40382,boise,2018,TOYOTA,excellent,4 cylinders,gas,53344,clean,automatic,fwd,mid-size,SUV,white,id,14243.464761344081
40383,louisville,2011,jeep,fair,6 cylinders,gas,229309,clean,automatic,4wd,full-size,SUV,red,ky,4822.244128897528
40384,tampa bay area,2009,honda,excellent,4 cylinders,gas,132297,clean,manual,fwd,mid-size,SUV,silver,fl,7496.447398270428
40385,reno / tahoe,2000,gmc,like new,6 cylinders,gas,172835,clean,automatic,fwd,full-size,SUV,white,ca,7791.605935053457
40386,ithaca,2014,gmc,excellent,8 cylinders,diesel,99301,clean,automatic,4wd,full-size,SUV,blue,ny,19576.044671239793
40387,raleigh / durham / CH,2014,nissan,like new,4 cylinders,,95891,clean,automatic,fwd,mid-size,sedan,black,nc,9671.558297764577
40388,st augustine,1991,hyundai,good,6 cylinders,,171725,clean,automatic,fwd,full-size,sedan,silver,fl,3410.5466391628192
40389,northern michigan,2012,bmw,like new,6 cylinders,gas,58330,clean,automatic,rwd,full-size,sedan,black,mi,14912.106386187983
40390,lynchburg,2013,kia,excellent,4 cylinders,gas,89276,clean,other,fwd,compact,sedan,red,va,7772.8965838032545
40391,buffalo,2008,chevrolet,excellent,6 cylinders,diesel,170502,clean,automatic,4wd,full-size,pickup,white,ny,17607.534411984983
40392,albuquerque,2004,mercedes-benz,excellent,6 cylinders,gas,136572,clean,automatic,fwd,full-size,SUV,black,nm,9405.825340405192
40393,detroit metro,2009,toyota,excellent,6 cylinders,gas,155673,rebuilt,automatic,fwd,mid-size,sedan,blue,,7614.324078231224
40394,erie,2012,ford,excellent,6 cylinders,diesel,115918,clean,manual,4wd,full-size,SUV,black,pa,18557.55034336769
40395,tampa bay area,1997,ford,good,8 cylinders,gas,175082,clean,manual,fwd,full-size,sedan,green,fl,3744.486335029554
40396,twin falls,1989,dodge,like new,6 cylinders,gas,130693,clean,automatic,fwd,full-size,mini-van,blue,id,7520.170725194856
40397,wichita,2017,audi,excellent,6 cylinders,gas,154967,clean,automatic,4wd,full-size,SUV,black,ks,14494.267178868677
40398,albuquerque,2011,chevrolet,good,8 cylinders,gas,77046,clean,automatic,fwd,full-size,truck,white,nm,12416.77068430715
40399,louisville,1981,chevrolet,excellent,8 cylinders,gas,79435,salvage,automatic,4wd,full-size,truck,black,,14859.550754054604
40400,central NJ,2015,kia,excellent,4 cylinders,gas,123848,clean,automatic,fwd,mid-size,SUV,black,nj,9497.139654239707
40401,western maryland,1984,ford,excellent,8 cylinders,gas,141840,clean,manual,rwd,full-size,pickup,green,md,8141.3551474493715
40402,columbus,2004,mazda,excellent,4 cylinders,gas,175690,clean,automatic,fwd,mid-size,hatchback,green,oh,5040.165058460379
40403,minneapolis / st paul,2015,toyota,excellent,4 cylinders,gas,82098,clean,automatic,fwd,full-size,sedan,black,,9763.189643479958
40404,"washington, DC",2014,jeep,excellent,6 cylinders,gas,107823,clean,automatic,4wd,mid-size,SUV,black,,14475.662470327446
40405,bend,2014,ford,excellent,6 cylinders,gas,45402,clean,automatic,fwd,full-size,sedan,blue,,12866.667354261652
40406,omaha / council bluffs,1999,ford,excellent,6 cylinders,gas,211467,clean,automatic,fwd,mid-size,sedan,white,ia,5724.206660706858
40407,rochester,2015,buick,excellent,4 cylinders,gas,50517,clean,automatic,fwd,mid-size,sedan,silver,ny,10722.365186225577
40408,grand rapids,2008,ford,excellent,8 cylinders,diesel,150380,clean,automatic,4wd,full-size,truck,silver,mi,16587.87956071553
40409,stockton,2012,infiniti,excellent,4 cylinders,gas,108878,clean,automatic,fwd,mid-size,sedan,green,ca,7308.589759701731
40410,detroit metro,2010,lexus,excellent,4 cylinders,gas,87187,clean,automatic,fwd,mid-size,sedan,silver,mi,8873.406545963475
40411,pittsburgh,2007,buick,excellent,6 cylinders,gas,108573,clean,automatic,fwd,mid-size,mini-van,blue,pa,8939.43526163192
40412,delaware,1987,FORD,good,8 cylinders,gas,172609,clean,manual,rwd,full-size,truck,black,de,7772.573288096136
40413,norfolk / hampton roads,2014,lexus,excellent,6 cylinders,gas,97240,clean,automatic,rwd,full-size,coupe,black,va,13649.625844036023
40414,long island,2012,honda,like new,4 cylinders,gas,127538,parts only,automatic,fwd,mid-size,sedan,silver,ny,7051.056209171887
40415,nashville,1989,ford,fair,8 cylinders,gas,75503,clean,manual,4wd,full-size,pickup,white,tn,10336.104746175824
40416,grand rapids,2010,audi,excellent,6 cylinders,diesel,49896,clean,automatic,4wd,full-size,SUV,black,mi,28250.96817519815
40417,odessa / midland,1999,bmw,good,6 cylinders,gas,190196,salvage,manual,rwd,mid-size,SUV,silver,tx,5994.713630460941
40418,kennewick-pasco-richland,2006,ford,good,6 cylinders,gas,88379,clean,automatic,fwd,full-size,other,green,,7230.966385724823
40419,albany,1988,pontiac,excellent,4 cylinders,gas,77088,clean,manual,rwd,mid-size,coupe,yellow,ny,10511.369565778348
40420,prescott,2018,chevrolet,like new,6 cylinders,gas,3486,clean,automatic,rwd,compact,sedan,green,az,15783.897626454513
40421,worcester / central MA,2012,bmw,excellent,6 cylinders,gas,114134,clean,automatic,fwd,full-size,coupe,blue,ma,9823.780409922745
40422,redding,2012,toyota,good,4 cylinders,gas,126740,clean,manual,fwd,compact,coupe,blue,ca,6528.161220025875
40423,tucson,2013,ford,excellent,6 cylinders,gas,94699,clean,automatic,4wd,full-size,pickup,white,az,19189.440792576876
40424,dallas / fort worth,2014,buick,excellent,6 cylinders,gas,90547,lien,automatic,fwd,mid-size,sedan,white,tx,11306.49427547077
40425,los angeles,2013,CHEVROLET,excellent,4 cylinders,gas,85192,clean,automatic,fwd,full-size,sedan,black,ca,10750.84006277187
40426,syracuse,2013,kia,like new,4 cylinders,gas,131402,rebuilt,other,fwd,compact,sedan,silver,ny,7537.633881297992
40427,los angeles,2004,hyundai,excellent,4 cylinders,gas,53408,salvage,automatic,fwd,mid-size,sedan,black,ca,8279.159657741899
40428,denver,2014,SUBARU,excellent,6 cylinders,gas,123033,rebuilt,automatic,4wd,mid-size,SUV,silver,co,15600.614905275957
40429,yuma,2007,chevrolet,excellent,6 cylinders,gas,173387,clean,manual,fwd,mid-size,coupe,green,az,5981.544000252968
40430,outer banks,2013,audi,good,4 cylinders,gas,124417,rebuilt,manual,fwd,mid-size,sedan,black,nc,8825.554570389704
40431,flint,2013,honda,excellent,4 cylinders,gas,96491,clean,automatic,fwd,compact,sedan,blue,mi,8082.694686308923
40432,new york city,2017,ford,excellent,6 cylinders,gas,18710,clean,automatic,4wd,full-size,SUV,grey,ny,23077.20659016161
40433,albuquerque,2009,GMC,good,6 cylinders,diesel,253790,clean,automatic,4wd,full-size,truck,black,nm,8935.538598504494
40434,tucson,1999,ford,good,4 cylinders,gas,149838,clean,automatic,fwd,compact,truck,white,az,7574.865659601493
40435,central NJ,2008,volkswagen,fair,4 cylinders,gas,81460,clean,automatic,fwd,mid-size,SUV,black,nj,6071.1288887507735
40436,monterey bay,2016,honda,like new,6 cylinders,gas,145785,clean,automatic,rwd,full-size,SUV,blue,,11497.8733790793
40437,syracuse,2011,ford,excellent,8 cylinders,,121776,clean,automatic,4wd,mid-size,truck,white,ny,17669.953693566404
40438,detroit metro,2018,ram,like new,6 cylinders,,23872,rebuilt,manual,4wd,full-size,truck,black,mi,35205.13793454584
40439,indianapolis,2018,honda,excellent,4 cylinders,gas,93202,rebuilt,automatic,fwd,mid-size,SUV,blue,in,12095.942276094696
40440,winston-salem,2005,ford,excellent,8 cylinders,gas,217671,clean,automatic,4wd,full-size,truck,white,nc,10638.129416424084
40441,tucson,1999,ｊｅｅｐ,fair,6 cylinders,gas,125145,clean,automatic,4wd,mid-size,SUV,custom,az,7342.535581144458
40442,northern michigan,2006,ford,good,6 cylinders,gas,177596,clean,manual,4wd,mid-size,SUV,silver,mi,7746.792738426224
40443,chico,2014,nissan,good,4 cylinders,gas,119879,clean,automatic,fwd,sub-compact,coupe,silver,ca,6194.255247310102
40444,"washington, DC",2012,ford,excellent,4 cylinders,gas,142000,clean,manual,fwd,midーsize,sedan,black,dc,8007.441476990598
40445,st cloud,1981,chevrolet,excellent,8 cylinders,diesel,246042,clean,automatic,4wd,full-size,truck,black,mn,9570.929823050796
40446,wichita,1984,bmw,excellent,6 cylinders,gas,165721,clean,automatic,fwd,full-size,coupe,red,ks,5515.215452066955
40447,richmond,2007,cadillac,good,6 cylinders,,197758,clean,manual,fwd,mid-size,sedan,white,va,5252.089718804098
40448,bismarck,1995,honda,fair,6 cylinders,gas,214919,clean,automatic,4wd,full-size,SUV,green,nd,3508.561344887742
40449,atlanta,2013,honda,good,4 cylinders,gas,143086,clean,manual,fwd,compact,hatchback,silver,ga,5209.327415756916
40450,syracuse,2020,dodge,good,4 cylinders,gas,209601,clean,manual,fwd,mid-size,sedan,silver,ny,4573.086144182267
40451,rhode island,2009,ford,excellent,8 cylinders,gas,176196,clean,automatic,fwd,full-size,truck,silver,ri,8301.212844911122
40452,okaloosa / walton,2005,lincoln,good,6 cylinders,gas,160537,clean,automatic,fwd,full-size,SUV,white,,6407.175428834709
40453,atlanta,2000,hyundai,excellent,4 cylinders,gas,125397,clean,automatic,fwd,compact,sedan,blue,ga,5587.882423360039
40454,chicago,2019,toyota,like new,4 cylinders,gas,122953,clean,automatic,fwd,compact,sedan,black,il,8152.914963925589
40455,kennewick-pasco-richland,2004,chevrolet,good,4 cylinders,gas,139857,clean,automatic,fwd,mid-size,hatchback,green,wa,5613.956798772335
40456,tampa bay area,2011,nissan,excellent,4 cylinders,gas,98944,rebuilt,automatic,fwd,mid-size,sedan,black,fl,9511.547220781322
40457,daytona beach,1992,ford,good,6 cylinders,gas,237229,clean,manual,rwd,full-size,sedan,blue,fl,4733.722771689584
40458,albuquerque,2014,toyota,excellent,4 cylinders,gas,102313,clean,automatic,fwd,mid-size,sedan,white,nm,9517.05366401217
40459,billings,2013,bmw,excellent,6 cylinders,gas,116429,clean,manual,fwd,full-size,coupe,black,mt,9322.43023032623
40460,tampa bay area,2007,chevrolet,excellent,6 cylinders,gas,189246,clean,automatic,rwd,mid-size,SUV,grey,fl,9770.189780149387
40461,central NJ,2012,chevrolet,good,6 cylinders,diesel,96492,rebuilt,automatic,4wd,full-size,SUV,black,nj,18883.50298814899
40462,daytona beach,2010,nissan,fair,4 cylinders,gas,211019,clean,manual,fwd,mid-size,SUV,silver,fl,3507.474850951651
40463,northern michigan,2016,honda,excellent,4 cylinders,gas,73011,rebuilt,automatic,fwd,full-size,sedan,black,mi,10756.288312519871
40464,louisville,2008,bmw,excellent,6 cylinders,gas,152572,clean,automatic,fwd,mid-size,coupe,red,ky,7229.263850400998
40465,grand rapids,2017,toyota,excellent,4 cylinders,gas,112503,clean,automatic,fwd,mid-size,SUV,black,mi,10225.056994980423
40466,"washington, DC",2012,mazda,good,4 cylinders,gas,120699,clean,automatic,fwd,full-size,sedan,red,dc,5757.126123541642
40467,imperial county,1998,bmw,excellent,6 cylinders,gas,227711,clean,manual,fwd,full-size,coupe,green,ca,3980.4664899070567
40468,ocala,2007,jeep,fair,6 cylinders,gas,163767,clean,manual,4wd,full-size,sedan,blue,fl,5800.4250888956385
40469,bakersfield,2015,nissan,excellent,4 cylinders,gas,66651,clean,other,fwd,compact,sedan,silver,,8620.189030065589
40470,las cruces,2018,chevrolet,excellent,6 cylinders,,35588,clean,automatic,4wd,full-size,other,silver,nm,21123.666664747336
40471,kennewick-pasco-richland,2012,audi,excellent,6 cylinders,gas,50343,rebuilt,automatic,fwd,mid-size,SUV,silver,wa,16378.47422649261
40472,central NJ,2006,mitsubishi,excellent,6 cylinders,gas,230038,clean,automatic,fwd,full-size,sedan,red,nj,4869.166516822794
40473,albuquerque,2006,ford,excellent,4 cylinders,gas,115542,salvage,automatic,4wd,full-size,pickup,green,nm,12079.009464378874
40474,south jersey,2004,TOYOTA,fair,6 cylinders,gas,265364,clean,automatic,fwd,mid-size,sedan,green,nj,2004.8152945159381
40475,louisville,2010,bmw,excellent,6 cylinders,gas,90728,clean,automatic,4wd,mid-size,SUV,silver,ky,13920.973853859636
40476,new orleans,2014,ford,good,6 cylinders,gas,110452,clean,automatic,rwd,mid-size,sedan,black,la,10004.727019683127
40477,new orleans,2011,lincoln,excellent,6 cylinders,gas,30895,clean,manual,rwd,full-size,SUV,white,la,18690.6316488516
40478,stockton,2009,FORD,good,8 cylinders,gas,17074,clean,automatic,rwd,full-size,coupe,black,ca,15664.55242655894
40479,pittsburgh,2012,ram,excellent,6 cylinders,diesel,69556,clean,automatic,4wd,mid-size,truck,white,pa,32998.79786282586
40480,watertown,2009,jeep,excellent,6 cylinders,gas,123628,clean,automatic,4wd,full-size,SUV,red,,11800.22699568652
40481,sioux city,2011,toyota,excellent,6 cylinders,gas,220917,clean,automatic,fwd,full-size,sedan,black,ia,5094.945661033795
40482,rochester,2014,chevrolet,excellent,4 cylinders,gas,110806,clean,automatic,fwd,mid-size,SUV,black,ny,11399.641811331267
40483,cedar rapids,2004,ford,excellent,8 cylinders,gas,110909,clean,automatic,rwd,full-size,truck,blue,ia,15323.897100126915
40484,"washington, DC",2015,subaru,excellent,4 cylinders,gas,188327,clean,automatic,fwd,compact,hatchback,blue,dc,7588.321164876715
40485,eugene,1999,volkswagen,fair,4 cylinders,gas,133318,missing,manual,fwd,compact,coupe,green,or,2864.7343255761416
40486,las vegas,1995,bmw,excellent,6 cylinders,gas,103178,clean,manual,rwd,compact,coupe,black,nv,10138.562199523243
40487,anchorage / mat-su,2009,dodge,good,4 cylinders,gas,145157,clean,automatic,fwd,mid-size,sedan,silver,ak,5652.582741949444
40488,memphis,2015,ram,excellent,6 cylinders,diesel,31627,clean,automatic,4wd,full-size,pickup,blue,tn,36748.21733192242
40489,tulsa,2015,chevrolet,excellent,4 cylinders,gas,108508,rebuilt,automatic,fwd,mid-size,sedan,silver,ok,10152.886565737394
40490,central NJ,2012,kia,good,4 cylinders,gas,82426,clean,automatic,fwd,mid-size,sedan,grey,nj,7635.746127928894
40491,yuba-sutter,2010,CHEVROLET,fair,8 cylinders,gas,213126,clean,automatic,fwd,full-size,coupe,silver,ca,3824.967544548658
40492,memphis,2001,infiniti,excellent,6 cylinders,gas,146749,clean,automatic,rwd,mid-size,SUV,silver,tn,9928.53205686644
40493,mcallen / edinburg,2012,ford,like new,6 cylinders,gas,6174,rebuilt,automatic,rwd,mid-size,SUV,black,tx,25969.236489860436
40494,western massachusetts,2013,ford,good,8 cylinders,gas,47662,rebuilt,manual,rwd,mid-size,truck,blue,ma,19175.293146080505
40495,richmond,2010,honda,good,4 cylinders,gas,263783,clean,automatic,fwd,compact,hatchback,black,va,3322.9096495928047
40496,janesville,2007,chevrolet,good,8 cylinders,gas,198653,clean,automatic,fwd,full-size,sedan,black,wi,4872.280969747867
40497,charlotte,2014,dodge,excellent,4 cylinders,gas,111634,clean,automatic,fwd,mid-size,SUV,black,nc,10677.49343163514
40498,la salle co,2010,toyota,fair,4 cylinders,gas,249680,clean,automatic,fwd,compact,sedan,black,il,2635.264049391084
40499,hartford,2012,honda,excellent,4 cylinders,gas,81402,clean,automatic,fwd,compact,coupe,black,ct,9330.888599476175
40500,memphis,2003,ram,fair,6 cylinders,gas,203454,clean,automatic,rwd,full-size,pickup,black,tn,7027.206113194698
40501,bakersfield,2018,RAM,like new,6 cylinders,gas,3475,clean,automatic,4wd,full-size,truck,black,ca,34663.903303847146
40502,syracuse,2013,bmw,excellent,4 cylinders,gas,52022,clean,other,4wd,mid-size,sedan,silver,ny,14575.453316367404
40503,albuquerque,2015,ford,like new,4 cylinders,gas,33791,clean,manual,4wd,full-size,truck,grey,nm,25504.418840825918
40504,detroit metro,2009,BMW,excellent,6 cylinders,gas,124275,clean,automatic,4wd,mid-size,sedan,red,mi,10153.559964330665
40505,savannah / hinesville,2004,ford,excellent,8 cylinders,gas,189087,clean,automatic,fwd,full-size,sedan,silver,ga,5539.733684466388
40506,south florida,2012,kia,excellent,4 cylinders,gas,99550,rebuilt,manual,fwd,compact,sedan,black,fl,8678.677923730858
40507,hartford,2000,buick,excellent,6 cylinders,gas,140057,clean,automatic,rwd,full-size,sedan,grey,ct,8786.101724128279
40508,mcallen / edinburg,2015,ford,excellent,6 cylinders,gas,65532,clean,automatic,rwd,mid-size,coupe,white,tx,18123.02972291877
40509,nashville,2017,chevrolet,good,4 cylinders,gas,37203,clean,automatic,fwd,mid-size,sedan,blue,tn,11480.803903371438
40510,dallas / fort worth,2015,toyota,excellent,4 cylinders,gas,114829,rebuilt,automatic,fwd,mid-size,SUV,black,tx,10993.951835667689
40511,killeen / temple / ft hood,2016,mazda,excellent,4 cylinders,gas,70688,salvage,manual,fwd,compact,hatchback,green,tx,7713.9196181617335
40512,denver,2000,ram,good,8 cylinders,diesel,256634,clean,manual,4wd,full-size,truck,silver,co,8716.370257239956
40513,killeen / temple / ft hood,2016,jeep,fair,8 cylinders,gas,93810,clean,automatic,4wd,full-size,SUV,black,,9691.217123637449
40514,south jersey,1994,CHEVROLET,like new,other,gas,49989,salvage,automatic,rwd,full-size,pickup,green,nj,14572.918384835302
40515,boise,2005,bmw,good,6 cylinders,gas,106459,clean,manual,fwd,full-size,coupe,orange,id,6611.029805593626
40516,salem,2016,volkswagen,excellent,4 cylinders,,165038,clean,automatic,fwd,compact,sedan,blue,or,5848.847791640686
40517,albany,2011,chevrolet,good,8 cylinders,gas,70371,rebuilt,automatic,fwd,full-size,SUV,white,ny,12153.580469506203
40518,rhode island,2015,honda,excellent,5 cylinders,gas,149618,clean,manual,fwd,full-size,sedan,silver,ri,6798.473746085504
40519,las vegas,2012,chevrolet,excellent,8 cylinders,gas,66097,clean,automatic,fwd,fullーsize,coupe,silver,nv,11606.457504171183
40520,north jersey,2002,lexus,excellent,4 cylinders,gas,97501,clean,automatic,fwd,mid-size,sedan,blue,nj,8805.330019287765
40521,omaha / council bluffs,2009,ford,good,6 cylinders,gas,136195,clean,automatic,fwd,mid-size,SUV,black,ia,7675.137059425642
40522,plattsburgh-adirondacks,2003,bmw,excellent,6 cylinders,gas,76294,clean,manual,rwd,mid-size,sedan,black,ny,11954.947223277157
40523,north jersey,2008,ford,excellent,4 cylinders,gas,248883,clean,automatic,fwd,mid-size,truck,white,nj,7188.110044684595
40524,grand rapids,2013,ram,excellent,6 cylinders,diesel,111263,clean,automatic,4wd,full-size,pickup,black,mi,24833.101883401167
40525,asheville,1991,ram,good,8 cylinders,diesel,172988,clean,manual,4wd,full-size,pickup,white,nc,12916.246883249116
40526,redding,2016,ford,excellent,4 cylinders,gas,110394,clean,automatic,fwd,mid-size,sedan,silver,ca,9005.228163392097
40527,cedar rapids,2019,ram,excellent,6 cylinders,diesel,57282,clean,automatic,4wd,full-size,pickup,black,ia,33105.862767697115
40528,pittsburgh,2000,chrysler,good,6 cylinders,gas,90654,clean,other,fwd,mid-size,coupe,orange,,5900.1624768897045
40529,yuma,1998,ford,fair,8 cylinders,gas,213697,clean,manual,rwd,full-size,truck,green,,4445.720503226936
40530,albany,2008,ford,excellent,8 cylinders,gas,16180,clean,automatic,fwd,full-size,SUV,black,ny,15436.000326555466
40531,eastern NC,2004,ford,good,8 cylinders,diesel,76895,clean,automatic,4wd,full-size,truck,black,nc,19356.07025606582
40532,pueblo,2008,ford,fair,6 cylinders,,155751,clean,manual,rwd,full-size,truck,green,co,6572.919817149776
40533,"washington, DC",2011,nissan,good,4 cylinders,gas,77630,clean,automatic,fwd,full-size,truck,black,,10293.792413325913
40534,valdosta,2016,volkswagen,like new,4 cylinders,gas,61005,rebuilt,automatic,fwd,sub-compact,sedan,black,ga,10181.32055638572
40535,memphis,2012,ford,excellent,4 cylinders,gas,178697,clean,automatic,fwd,mid-size,van,silver,tn,7658.838345749914
40536,central NJ,2015,volkswagen,excellent,4 cylinders,gas,59023,lien,automatic,fwd,mid-size,sedan,black,nj,10577.99769603402
40537,mcallen / edinburg,2006,mercury,like new,6 cylinders,gas,133395,clean,automatic,fwd,full-size,sedan,black,tx,5946.291663530938
40538,el paso,2000,chevrolet,excellent,8 cylinders,diesel,135032,clean,automatic,4wd,full-size,truck,black,tx,18304.760377218085
40539,louisville,2017,dodge,good,4 cylinders,gas,51821,rebuilt,automatic,fwd,mid-size,coupe,blue,ky,12521.359235898237
40540,st george,2011,cadillac,excellent,8 cylinders,gas,145921,clean,automatic,4wd,full-size,pickup,silver,ut,12676.1431804317
40541,memphis,1995,jeep,good,8 cylinders,gas,163611,clean,automatic,4wd,full-size,SUV,black,tn,7564.423125270099
40542,redding,2012,ford,like new,4 cylinders,gas,80384,rebuilt,automatic,fwd,full-size,sedan,black,ca,12365.902811017464
40543,tucson,2017,audi,excellent,4 cylinders,gas,124455,clean,automatic,fwd,mid-size,sedan,black,az,10471.466296486107
40544,western maryland,2006,mazda,fair,4 cylinders,gas,290454,clean,manual,fwd,mid-size,coupe,green,md,1942.3101844226403
40545,mcallen / edinburg,2016,ford,excellent,6 cylinders,gas,99828,rebuilt,other,fwd,mid-size,sedan,black,tx,11146.470089496946
40546,waterloo / cedar falls,1999,toyota,good,6 cylinders,gas,133386,clean,manual,fwd,full-size,sedan,grey,ia,5285.020062921359
40547,joplin,2016,nissan,excellent,4 cylinders,gas,87420,clean,automatic,fwd,compact,sedan,blue,mo,8856.471662474989
40548,fargo / moorhead,1984,bmw,excellent,6 cylinders,gas,91836,clean,automatic,rwd,mid-size,SUV,black,mn,11352.163254315328
40549,mcallen / edinburg,2001,gmc,good,8 cylinders,gas,196893,clean,manual,4wd,full-size,truck,silver,tx,7212.727445711139
40550,jacksonville,2005,mercedes-benz,excellent,6 cylinders,gas,138335,clean,automatic,fwd,full-size,sedan,black,fl,8064.274619968534
40551,north jersey,2014,nissan,like new,4 cylinders,gas,110561,clean,automatic,fwd,full-size,sedan,blue,nj,8979.423327273713
40552,portland,2013,nissan,good,4 cylinders,gas,74942,clean,manual,fwd,compact,coupe,silver,or,7242.468909336192
40553,"washington, DC",2000,subaru,excellent,4 cylinders,gas,288481,rebuilt,manual,4wd,mid-size,SUV,blue,dc,7346.628880743737
40554,roanoke,2010,TOYOTA,excellent,4 cylinders,gas,184801,clean,automatic,fwd,compact,SUV,green,va,5061.278106608052
40555,south florida,2007,ｈｏｎｄａ,excellent,6 cylinders,gas,139420,clean,manual,fwd,mid-size,sedan,black,fl,6566.173611524274
40556,louisville,2019,dodge,excellent,6 cylinders,gas,48738,rebuilt,automatic,fwd,full-size,coupe,blue,ky,15706.478206028652
40557,"st louis, MO",2013,ford,like new,6 cylinders,diesel,56520,clean,automatic,4wd,full-size,pickup,black,mo,29171.80069553585
40558,las vegas,2008,nissan,good,4 cylinders,gas,79756,clean,automatic,fwd,compact,sedan,blue,nv,6915.706650262599
40559,new york city,2013,chevrolet,like new,4 cylinders,gas,84184,clean,automatic,4wd,full-size,SUV,black,ny,18216.307135427684
40560,corvallis/albany,1990,bmw,good,6 cylinders,gas,99540,clean,automatic,rwd,full-size,coupe,blue,or,9134.410156736372
40561,"washington, DC",1995,ram,excellent,6 cylinders,gas,84349,clean,manual,4wd,full-size,pickup,blue,dc,18350.440813920384
40562,albuquerque,1984,bmw,excellent,6 cylinders,gas,99034,clean,automatic,rwd,mid-size,sedan,black,nm,9423.227226044399
40563,dayton / springfield,1995,ram,excellent,6 cylinders,diesel,166749,clean,automatic,4wd,full-size,pickup,silver,oh,15419.264836658906
40564,richmond,2012,bmw,good,5 cylinders,gas,144038,salvage,automatic,4wd,full-size,SUV,black,va,10529.26643751201
40565,southeast IA,2013,nissan,excellent,4 cylinders,gas,152223,clean,automatic,fwd,compact,sedan,black,ia,6331.446039423385
40566,portland,2011,honda,excellent,4 cylinders,gas,89512,clean,other,fwd,mid-size,sedan,grey,or,8654.371748120599
40567,baltimore,2007,FORD,excellent,6 cylinders,gas,177943,clean,automatic,fwd,full-size,sedan,black,,6609.295637293993
40568,central NJ,2013,kia,excellent,4 cylinders,gas,117174,rebuilt,automatic,fwd,compact,sedan,black,nj,8304.55985193128
40569,tucson,2012,ford,excellent,8 cylinders,gas,208962,clean,automatic,rwd,full-size,truck,black,az,10409.54637217744
40570,grand rapids,1996,jeep,fair,6 cylinders,gas,72336,clean,manual,4wd,full-size,offroad,white,mi,9978.183629116706
40571,redding,1973,BMW,excellent,6 cylinders,gas,95744,clean,automatic,rwd,full-size,coupe,red,ca,8877.839642771713
40572,central NJ,2009,chevrolet,good,6 cylinders,gas,202944,clean,automatic,fwd,full-size,truck,black,nj,6750.956325875807
40573,san diego,2011,volkswagen,like new,4 cylinders,,79423,clean,other,fwd,compact,sedan,silver,ca,7664.648540927404
40574,boise,2013,INFINITI,good,6 cylinders,gas,134620,clean,automatic,4wd,full-size,SUV,white,id,11372.515865008338
40575,bend,2016,bmw,excellent,6 cylinders,gas,41476,clean,automatic,rwd,mid-size,sedan,white,or,17004.933081840416
40576,lincoln,2011,lincoln,excellent,4 cylinders,gas,44019,clean,automatic,fwd,full-size,sedan,black,ne,11254.387856477524
40577,rhode island,2013,toyota,excellent,4 cylinders,gas,162716,clean,automatic,fwd,mid-size,hatchback,red,ri,6947.165974594785
40578,south bend / michiana,2013,ford,like new,6 cylinders,gas,9111,clean,automatic,rwd,mid-size,truck,white,in,29003.664355255914
40579,new york city,2015,ford,excellent,6 cylinders,gas,42370,clean,automatic,fwd,mid-size,sedan,black,ny,12900.609391802203
40580,champaign urbana,2007,honda,good,4 cylinders,gas,203471,,manual,fwd,compact,,red,il,3962.6893727273164
40581,long island,2013,chevrolet,good,8 cylinders,gas,155538,clean,automatic,fwd,full-size,SUV,silver,ny,6677.87154856568
40582,albuquerque,2013,ford,good,4 cylinders,gas,77108,clean,automatic,fwd,full-size,SUV,white,nm,10985.107592954317
40583,nashville,2001,RAM,excellent,6 cylinders,diesel,124993,clean,manual,4wd,full-size,truck,silver,tn,19772.234020821674
40584,south florida,2012,ford,excellent,8 cylinders,gas,122924,clean,automatic,fwd,full-size,SUV,black,fl,10016.030849633318
40585,kennewick-pasco-richland,1989,mazda,good,4 cylinders,gas,119106,clean,manual,fwd,compact,sedan,green,,3673.1622311508195
40586,toledo,2009,honda,excellent,6 cylinders,diesel,191979,,automatic,4wd,full-size,,blue,oh,11652.990029926032
40587,raleigh / durham / CH,2018,chevrolet,excellent,4 cylinders,gas,228,clean,automatic,fwd,compact,sedan,blue,,15362.28779892747
40588,philadelphia,1965,CHEVROLET,good,8 cylinders,,26623,clean,manual,rwd,mid-size,coupe,red,pa,9774.909837282135
